Producto,SKU,Stock,Costo,Precio,Unidad de Medida,Fecha de Caducidad
Café Americano vaso 12oz,ABR-00054,212,16.71,32.69,pieza,2027-05-11
Powerade Azul 500ml Pack 3,ABR-00055,189,11.75,20.20,pieza,2027-10-27
Suavitel Fresca Primavera 850ml,ABR-00056,241,35.34,48.77,pieza,2029-05-25
Cloro Cloralex 1L Familiar,ABR-00057,32,18.24,26.42,pieza,2028-10-17
Rockaleta,ABR-00058,10,7.49,11.83,pieza,2027-08-02
Sabritas Original 45g,ABR-00059,228,12.32,17.58,pieza,2027-01-06
Cacahuates Japoneses 100g,ABR-00060,225,19.37,29.39,pieza,2027-09-27
Agua Bonafont 1.5L Familiar,ABR-00061,396,8.36,14.79,pieza,2027-04-12
Chocolate Kinder Bueno Mini,ABR-00062,219,16.87,29.67,pieza,2027-11-25
Cheetos Flamin Hot 55g Individual,ABR-00063,223,12.69,19.97,pieza,2027-03-22
Ruffles Queso 45g Pack 3,ABR-00064,17,12.79,18.33,pieza,2027-05-13
Aceite 1-2-3 1L,ABR-00065,137,37.39,59.23,pieza,2027-07-06
Jugo Del Valle Naranja 1L Familiar,ABR-00066,67,17.07,34.37,pieza,2026-09-09
Refresco Jarritos Tamarindo 370ml,ABR-00067,111,9.75,18.82,pieza,2028-01-06
Té Lipton Limón 500ml,ABR-00068,181,11.13,18.25,pieza,2027-10-21
Coca-Cola 600ml,ABR-00069,363,8.75,16.06,pieza,2027-02-18
Cereal Corn Flakes 500g,ABR-00070,159,51.45,76.85,pieza,2027-06-18
Helado Holanda Vainilla 1L,ABR-00071,79,56.93,82.28,pieza,2027-09-23
Arroz Schettino 1kg,ABR-00072,107,27.08,39.50,kg,2027-08-24
Pizza congelada Pepperoni,ABR-00073,103,71.09,111.22,pieza,2026-08-01
Bubulubu Individual,ABR-00074,82,8.37,12.20,pieza,2027-11-20
Mayonesa McCormick 390g,ABR-00075,230,33.40,51.78,pieza,2027-01-21
Suero oral Vida Suero Oral Jumbo,ABR-00076,23,18.47,28.53,pieza,2027-03-29
Nuggets de pollo 500g,ABR-00077,11,68.19,89.64,pieza,2027-04-08
Chocolate Abuelita 6 tabletas,ABR-00078,226,46.93,67.51,paquete,2027-02-16
Aguacate Hass,ABR-00079,372,54.95,81.52,kg,2026-08-06
Pan dulce concha chocolate,ABR-00080,132,9.39,14.06,pieza,2027-01-28
Queso manchego La Villita 400g,ABR-00081,63,78.22,106.72,pieza,2026-12-03
Consomé de pollo Knorr 8 cubos Individual,ABR-00082,152,18.48,30.19,paquete,2027-06-21
Pilas AAA Duracell 4pz,ABR-00083,129,55.99,87.98,paquete,2030-12-14
Paleta Vero Mango,ABR-00084,220,5.95,9.45,pieza,2027-11-30
Vinagre blanco 1L Pack 3,ABR-00085,199,12.65,19.29,pieza,2031-06-26
Leche evaporada Carnation 360g,ABR-00086,140,21.21,31.70,pieza,2027-05-06
Frijol Bayo Verde Valle 1kg,ABR-00087,59,30.19,42.40,kg,2027-08-28
Manzana Red Delicious Pack 3,ABR-00088,138,41.86,66.99,kg,2027-11-21
Sopa Nissin Carne Individual,ABR-00089,242,7.37,13.56,pieza,2026-08-21
Maíz pozolero 825g,ABR-00090,241,28.34,41.85,pieza,2027-07-27
Duvalín Tricolor,ABR-00091,107,6.34,10.73,pieza,2027-03-14
Leche evaporada Carnation 360g Individual,ABR-00092,367,21.95,33.40,pieza,2027-09-19
Cilantro Individual,ABR-00093,136,8.54,16.15,manojo,2026-08-28
Hielo bolsa 5kg,ABR-00094,164,25.26,36.97,bolsa,2030-12-18
Crema Lala 426ml,ABR-00095,83,26.57,40.39,pieza,2027-03-05
Consomé de pollo Knorr 8 cubos,ABR-00096,192,18.75,27.46,paquete,2027-10-06
Papas Barcel Sal 45g,ABR-00097,13,10.95,17.68,pieza,2027-07-25
Ruffles Queso 45g,ABR-00098,193,13.58,19.46,pieza,2026-09-01
Chicharrones Totis 50g Pack 2,ABR-00099,121,12.23,17.25,pieza,2026-11-26
Servilletas Pétalo 200pz,ABR-00100,94,27.84,40.36,paquete,2029-07-02
Cepillo dental Colgate,ABR-00101,209,18.71,26.27,pieza,2029-06-24
Chicles Trident Menta Pack 2,ABR-00102,232,14.96,22.27,paquete,2027-08-20
Frijoles refritos La Costeña 580g,ABR-00103,212,17.13,28.41,pieza,2027-04-06
Cerveza Victoria 355ml,ABR-00104,206,15.49,25.74,pieza,2026-12-02
Leche deslactosada Alpura 1L,ABR-00105,358,27.18,37.07,pieza,2027-08-15
Leche Lala Light 1L,ABR-00106,270,22.42,35.90,pieza,2026-11-17
Salsa Valentina 370ml,ABR-00107,181,18.39,29.47,pieza,2027-01-04
Salsa Tapatio 148ml Jumbo,ABR-00108,206,23.64,33.71,pieza,2027-12-09
Té de manzanilla 25 sobres,ABR-00109,218,22.81,33.70,paquete,2027-04-09
Paleta Vero Mango,ABR-00110,192,5.79,9.92,pieza,2027-11-19
Toallas de cocina Scott 2 rollos,ABR-00111,217,44.13,62.87,paquete,2030-05-20
Bolillo,ABR-00112,71,2.44,4.81,pieza,2027-05-10
Papel higiénico Pétalo 4 rollos Pack 3,ABR-00113,125,39.22,64.18,paquete,2029-11-28
Plátano,ABR-00114,4,18.61,27.77,kg,2026-11-04
Mazapan de la Rosa Mini,ABR-00115,262,3.84,7.18,pieza,2027-07-19
Pasta codito La Moderna 200g,ABR-00116,116,8.06,13.67,pieza,2027-05-05
Rockaleta Pack 2,ABR-00117,190,7.25,10.68,pieza,2027-02-06
Gansito Marinela Individual,ABR-00118,194,11.57,18.26,pieza,2027-05-17
Cerveza Tecate 355ml,ABR-00119,77,14.51,23.47,pieza,2026-08-15
Cebolla blanca,ABR-00120,141,19.28,34.43,kg,2027-05-27
Naranja,ABR-00121,26,22.49,36.42,kg,2026-08-13
Bolsas de basura 50L 20pz Individual,ABR-00122,13,34.67,49.37,paquete,2029-12-23
Nopales en escabeche 400g,ABR-00123,18,18.93,27.56,pieza,2026-09-24
Salchicha San Rafael 500g Jumbo,ABR-00124,63,51.45,67.22,paquete,2026-11-30
Papel higiénico Pétalo 4 rollos,ABR-00125,57,42.71,64.88,paquete,2031-06-29
Atún Tuny en aceite 140g,ABR-00126,109,16.84,27.50,pieza,2027-06-09
Toallas de cocina Scott 2 rollos,ABR-00127,242,45.79,70.61,paquete,2029-09-22
Rastrillo Gillette Prestobarba 2pz Mini,ABR-00128,141,32.65,52.71,paquete,2028-12-24
Tocino Kirby 250g Individual,ABR-00129,8,59.76,87.58,pieza,2027-03-26
Pulparindo,ABR-00130,175,5.16,8.93,pieza,2027-03-28
Chocolate Carlos V 18g,ABR-00131,239,8.16,12.31,pieza,2027-02-19
Pasta codito La Moderna 200g Pack 3,ABR-00132,211,8.19,14.91,pieza,2026-12-24
Leche Santa Clara Chocolate 180ml Familiar,ABR-00133,167,12.18,21.04,pieza,2027-10-24
Queso Panela Chilchota 400g,ABR-00134,276,53.28,80.72,pieza,2027-12-19
Salsa Catsup Heinz 397g Pack 2,ABR-00135,154,29.74,43.58,pieza,2027-04-14
Agua Bonafont 1.5L Mini,ABR-00136,30,8.43,15.18,pieza,2027-05-03
Esponja Scotch-Brite 2pz Pack 3,ABR-00137,234,21.90,35.85,paquete,2030-02-13
Bolillo,ABR-00138,248,2.47,5.25,pieza,2026-11-02
Té negro 25 sobres,ABR-00139,219,19.47,32.87,paquete,2027-01-12
Frijol Negro Verde Valle 1kg,ABR-00140,102,31.98,49.25,kg,2026-09-07
Consomé de pollo Knorr 8 cubos Familiar,ABR-00141,103,17.49,30.11,paquete,2028-01-09
Chocolate Kinder Surprise,ABR-00142,105,28.71,42.29,pieza,2026-09-25
Donas Bimbo 6pz,ABR-00143,113,35.69,47.99,paquete,2026-09-22
Barritas Marinela Fresa Pack 3,ABR-00144,178,16.03,23.76,paquete,2027-12-10
Queso Panela Chilchota 400g Mini,ABR-00145,179,55.96,78.58,pieza,2026-08-15
Suavitel Fresca Primavera 850ml,ABR-00146,29,33.46,54.84,pieza,2031-02-24
Queso Oaxaca Lala 400g,ABR-00147,74,61.40,101.58,pieza,2028-01-04
Tomate saladette Individual,ABR-00148,141,26.92,38.36,kg,2026-12-27
Sardinas en tomate 425g Jumbo,ABR-00149,221,22.03,37.12,pieza,2026-10-11
M&M's Chocolate 45g,ABR-00150,201,23.25,34.10,pieza,2028-01-02
Chocolate Kinder Bueno,ABR-00151,150,17.37,27.10,pieza,2027-12-15
Salsa verde Herdez 210g Jumbo,ABR-00152,195,13.96,21.41,pieza,2027-08-22
Consomé de pollo Knorr 8 cubos,ABR-00153,61,19.06,30.15,paquete,2027-08-28
Takis Fuego 70g,ABR-00154,121,15.77,23.30,pieza,2027-08-26
Sardinas en tomate 425g,ABR-00155,38,23.03,35.85,pieza,2027-12-21
Boing Guayaba 500ml Jumbo,ABR-00156,216,8.76,14.98,pieza,2027-10-25
Cerveza Tecate 355ml,ABR-00157,104,14.90,24.85,pieza,2027-01-06
Yogurt Danone Natural 1L,ABR-00158,177,30.10,40.92,pieza,2027-09-12
Analgésico Aspirina 20 tabs Familiar,ABR-00159,97,40.14,61.33,paquete,2027-06-21
Rastrillo Gillette Prestobarba 2pz,ABR-00160,9,36.45,58.28,paquete,2028-12-11
Cacahuates Japoneses 100g,ABR-00161,191,19.21,30.23,pieza,2026-11-01
Salsa Tapatio 148ml,ABR-00162,25,22.92,36.14,pieza,2027-10-29
Pan Bimbo Integral,ABR-00163,48,44.71,53.79,pieza,2027-05-28
Harina de maíz Maseca 1kg,ABR-00164,144,18.87,32.16,kg,2027-02-01
Pan Tostado Bimbo Jumbo,ABR-00165,274,33.90,45.86,pieza,2026-12-25
Takis Fuego 70g,ABR-00166,2,15.37,23.06,pieza,2027-11-20
Sandwich de jamón Jumbo,ABR-00167,88,26.47,44.58,pieza,2027-06-03
Algodón 100g,ABR-00168,77,18.55,27.81,pieza,2029-09-04
Sardinas en tomate 425g,ABR-00169,91,20.62,34.34,pieza,2027-05-30
Limón Mini,ABR-00170,221,27.53,41.46,kg,2026-09-20
Gasolina aditivo STP 350ml,ABR-00171,73,84.96,138.41,pieza,2029-11-07
Cepillo dental Colgate,ABR-00172,64,17.19,26.61,pieza,2029-04-30
Rastrillo Gillette Prestobarba 2pz Mini,ABR-00173,112,35.82,53.32,paquete,2028-09-30
Jabón líquido para trastes Axion 750ml,ABR-00174,83,30.11,51.15,pieza,2030-11-21
Tortillas de maíz 1kg Jumbo,ABR-00175,159,19.08,27.40,kg,2027-01-16
Runners 50g,ABR-00176,75,10.71,16.12,pieza,2027-07-13
Queso manchego La Villita 400g Pack 2,ABR-00177,220,73.52,123.58,pieza,2027-09-11
Gelatina D'Gari Fresa 120g,ABR-00178,3,7.83,14.65,pieza,2027-04-28
Detergente Roma 1kg Familiar,ABR-00179,149,32.88,49.32,kg,2030-09-12
Cheetos Torciditos 55g,ABR-00180,120,12.73,19.53,pieza,2026-08-26
Papel facial Kleenex 90pz,ABR-00181,56,32.31,51.19,paquete,2028-11-30
Alcohol 70% 500ml,ABR-00182,104,29.83,40.67,pieza,2029-03-19
Huevos San Juan 12pz Pack 2,ABR-00183,140,40.69,57.93,paquete,2026-12-17
Chiles Jalapeños La Costeña 220g,ABR-00184,242,16.44,25.97,pieza,2027-10-04
Ambientador Glade Lavanda,ABR-00185,25,35.90,57.21,pieza,2031-04-22
Desodorante Speed Stick,ABR-00186,94,48.25,62.92,pieza,2029-10-11
Mayonesa McCormick 390g,ABR-00187,175,33.52,50.86,pieza,2027-08-12
Cloro Cloralex 1L,ABR-00188,70,18.42,26.03,pieza,2029-08-16
Queso Panela Chilchota 400g,ABR-00189,348,57.85,76.64,pieza,2026-08-22
Red Bull 250ml,ABR-00190,144,26.85,45.13,pieza,2027-02-27
Leche Lala Light 1L,ABR-00191,139,23.20,34.47,pieza,2027-07-03
Tarjeta telefónica $100 Jumbo,ABR-00192,37,87.44,105.73,pieza,2029-04-16
Detergente Ace 1kg Pack 3,ABR-00193,33,35.63,58.22,kg,2028-08-23
Harina de maíz Maseca 1kg,ABR-00194,44,19.16,31.10,kg,2027-04-29
Monster Energy 473ml Individual,ABR-00195,121,32.13,57.16,pieza,2027-11-03
Cigarros Marlboro Rojo 20pz,ABR-00196,56,76.12,94.27,cajetilla,2028-10-20
Lechuga romana,ABR-00197,117,19.06,28.10,pieza,2026-09-01
Café soluble Nescafé 100g,ABR-00198,27,68.61,103.76,pieza,2027-12-16
Papa blanca,ABR-00199,155,20.50,32.65,kg,2026-12-30
Leche Alpura Entera 1L Jumbo,ABR-00200,291,22.17,31.10,pieza,2027-05-29
Consomé de pollo Knorr 8 cubos,ABR-00201,29,17.80,29.31,paquete,2027-03-09
Salsa Valentina 370ml,ABR-00202,116,17.22,27.28,pieza,2027-09-13
Sopa Nissin Carne,ABR-00203,65,7.28,12.61,pieza,2027-08-19
Chorizo San Rafael 400g,ABR-00204,21,54.77,79.44,pieza,2026-11-04
Salsa Valentina 370ml Mini,ABR-00205,15,17.63,26.34,pieza,2027-07-04
Paleta Holanda Magnum Mini Familiar,ABR-00206,108,19.08,29.98,pieza,2026-09-22
Pulparindo,ABR-00207,54,4.88,9.11,pieza,2027-01-06
Suero oral Vida Suero Oral,ABR-00208,142,19.00,27.33,pieza,2027-08-12
Té Lipton Limón 500ml,ABR-00209,216,11.13,19.93,pieza,2026-08-27
Cepillo dental Colgate,ABR-00210,46,18.95,26.96,pieza,2030-02-03
Limón,ABR-00211,46,29.89,43.93,kg,2026-12-25
Servilletas Pétalo 200pz,ABR-00212,248,26.07,43.62,paquete,2028-09-24
Cerveza Corona Extra 355ml,ABR-00213,87,17.18,27.64,pieza,2027-01-09
Cereal Zucaritas 490g,ABR-00214,152,53.45,87.79,pieza,2026-10-26
Jugo V8 340ml Pack 3,ABR-00215,20,18.73,25.98,pieza,2027-05-06
Mayonesa McCormick 390g,ABR-00216,69,34.92,51.52,pieza,2027-03-09
Pilas AAA Duracell 4pz,ABR-00217,173,53.64,79.71,paquete,2031-04-16
Galletas Habano,ABR-00218,153,16.69,27.53,paquete,2026-09-26
Coca-Cola 2L Pack 3,ABR-00219,23,22.93,36.72,pieza,2027-12-23
Encendedor BIC,ABR-00220,58,7.53,15.08,pieza,2031-05-14
Papel higiénico Regio 4 rollos,ABR-00221,220,39.86,51.23,paquete,2028-10-18
Salsa Tapatio 148ml Pack 2,ABR-00222,146,23.27,35.42,pieza,2027-09-19
Cebolla blanca,ABR-00223,247,19.33,31.51,kg,2027-06-29
Pan Tostado Bimbo,ABR-00224,205,32.60,47.39,pieza,2026-10-30
Salsa Tapatio 148ml,ABR-00225,134,21.10,35.50,pieza,2026-10-20
Frijoles refritos La Costeña 580g,ABR-00226,199,18.71,26.75,pieza,2027-01-20
Yogurt Danone Natural 1L,ABR-00227,231,26.27,42.07,pieza,2027-07-24
Aceite 1-2-3 1L,ABR-00228,60,39.94,57.77,pieza,2026-11-14
Jamón de pavo Fud 250g Pack 3,ABR-00229,167,42.69,67.71,pieza,2026-10-17
Tortillas de harina 500g,ABR-00230,316,22.45,34.80,paquete,2027-11-03
Vegetales congelados 400g,ABR-00231,159,35.36,53.13,pieza,2027-06-27
Salsa verde Herdez 210g,ABR-00232,120,13.59,21.79,pieza,2027-10-27
Crema Nivea Soft 200ml,ABR-00233,129,62.66,88.25,pieza,2028-12-22
Chicles Trident Menta,ABR-00234,73,12.96,21.54,paquete,2026-10-18
Analgésico Tempra 500mg 20 tabs,ABR-00235,129,47.56,69.25,paquete,2027-08-29
Café de grano 250g,ABR-00236,10,91.18,129.78,pieza,2027-11-04
Hielo bolsa 5kg,ABR-00237,121,25.61,38.86,bolsa,2031-05-16
Salchicha San Rafael 500g,ABR-00238,214,47.62,75.58,paquete,2027-07-18
Papa blanca Mini,ABR-00239,112,20.85,33.59,kg,2027-10-24
Galletas Habano,ABR-00240,72,17.02,27.43,paquete,2027-09-01
Sopa Maruchan Pollo,ABR-00241,161,8.23,13.00,pieza,2027-07-09
Leche Alpura Entera 1L,ABR-00242,356,21.60,30.73,pieza,2027-01-01
Frijol Bayo Verde Valle 1kg Mini,ABR-00243,247,28.28,43.92,kg,2027-09-06
Mantequilla Gloria 90g,ABR-00244,96,19.26,27.15,pieza,2027-07-03
Totopos Saníssimo 180g Mini,ABR-00245,175,33.68,49.83,pieza,2026-11-04
Analgésico Tempra 500mg 20 tabs,ABR-00246,79,45.06,62.76,paquete,2027-02-01
Sabritas Adobadas 45g,ABR-00247,99,12.51,17.11,pieza,2026-10-19
Mazapan de la Rosa,ABR-00248,398,3.74,7.30,pieza,2026-09-08
Helado Holanda Vainilla 1L,ABR-00249,96,57.34,79.98,pieza,2027-01-05
Pan Bimbo Blanco Grande Mini,ABR-00250,389,39.65,54.57,pieza,2027-10-23
Powerade Azul 500ml,ABR-00251,113,11.82,20.12,pieza,2027-05-19
Pilas AA Duracell 4pz,ABR-00252,79,54.55,85.46,paquete,2031-03-11
Café Americano vaso 12oz,ABR-00253,112,17.62,34.29,pieza,2027-11-16
Cable USB C 1m Individual,ABR-00254,41,45.02,83.89,pieza,2029-09-05
Queso manchego La Villita 400g,ABR-00255,123,82.66,106.76,pieza,2027-08-16
Suavitel Fresca Primavera 850ml,ABR-00256,31,36.18,52.13,pieza,2030-02-27
Bebida Yakult 5pz,ABR-00257,37,33.73,55.37,paquete,2027-10-22
Cerveza Corona Extra 355ml,ABR-00258,89,17.20,27.78,pieza,2026-08-28
Sopa Nissin Carne Jumbo,ABR-00259,20,7.35,12.76,pieza,2027-08-19
Ruffles Queso 45g Pack 2,ABR-00260,202,13.71,19.46,pieza,2026-12-28
Huevos San Juan 12pz Individual,ABR-00261,260,43.32,54.65,paquete,2027-11-03
Desodorante Speed Stick Pack 2,ABR-00262,38,41.54,64.91,pieza,2031-07-09
Pasta codito La Moderna 200g Familiar,ABR-00263,61,7.66,13.15,pieza,2027-10-04
Algodón 100g,ABR-00264,231,17.88,26.26,pieza,2031-05-13
Shampoo Head & Shoulders 375ml,ABR-00265,183,66.37,96.14,pieza,2029-05-14
Lucas Muecas Chamoy,ABR-00266,106,8.15,12.46,pieza,2027-02-08
Helado Magnum Almendras,ABR-00267,244,32.12,46.93,pieza,2028-01-02
Aceite de oliva Extra Virgen 500ml,ABR-00268,120,85.74,122.81,pieza,2026-09-14
Alcohol 70% 500ml,ABR-00269,91,27.43,43.66,pieza,2028-12-09
Aceite Capullo 1L Mini,ABR-00270,188,45.92,67.82,pieza,2027-07-07
Crema Lala 426ml Jumbo,ABR-00271,212,27.28,42.96,pieza,2027-11-19
Naranja,ABR-00272,183,20.88,32.96,kg,2027-11-12
Boing Guayaba 500ml Pack 2,ABR-00273,80,9.42,16.99,pieza,2027-06-14
Galletas Emperador Chocolate,ABR-00274,9,23.11,34.85,paquete,2027-02-12
Pulparindo,ABR-00275,84,5.22,9.53,pieza,2027-05-07
Queso Panela Chilchota 400g,ABR-00276,217,54.45,80.69,pieza,2027-07-14
Concha pan dulce,ABR-00277,156,8.00,14.95,pieza,2026-10-24
Lechuga romana,ABR-00278,46,17.80,30.22,pieza,2027-05-28
Gomitas de osito 100g Familiar,ABR-00279,154,16.41,24.23,pieza,2027-10-11
Pan Bimbo Integral,ABR-00280,200,41.00,53.75,pieza,2027-10-20
M&M's Chocolate 45g,ABR-00281,171,23.03,32.52,pieza,2027-09-20
Cereal Corn Flakes 500g,ABR-00282,7,49.92,68.08,pieza,2026-12-25
Flan Danette Vainilla 100g,ABR-00283,17,10.45,14.81,pieza,2027-03-30
Cigarros Marlboro Rojo 20pz,ABR-00284,8,73.35,101.83,cajetilla,2029-06-03
Pizza congelada Pepperoni,ABR-00285,19,73.45,109.01,pieza,2026-12-19
Galletas Saladitas 185g,ABR-00286,245,21.35,32.80,paquete,2026-11-25
Agua Bonafont 1.5L,ABR-00287,80,8.00,14.73,pieza,2027-04-26
Tarjeta telefónica $100 Individual,ABR-00288,177,90.66,101.79,pieza,2031-04-25
Roles de canela Bimbo Pack 2,ABR-00289,113,27.79,42.55,paquete,2026-10-29
Tostadas de maíz 20pz,ABR-00290,88,29.55,40.79,paquete,2026-10-06
Limpiador Fabuloso Lavanda 1L,ABR-00291,182,29.75,44.36,pieza,2029-07-15
Leche deslactosada Alpura 1L,ABR-00292,91,24.85,40.95,pieza,2027-03-31
Café soluble Dolca 170g,ABR-00293,119,70.40,111.27,pieza,2026-12-11
Desodorante Rexona Clinical,ABR-00294,183,51.18,83.61,pieza,2031-03-31
Galletas Habano,ABR-00295,32,17.74,28.34,paquete,2027-06-21
Curitas surtidas 20pz Individual,ABR-00296,224,22.63,34.13,paquete,2029-07-31
Cable USB C 1m,ABR-00297,14,44.51,90.59,pieza,2029-04-04
Galletas Chokis Pack 3,ABR-00298,57,22.70,40.64,paquete,2027-07-21
Galletas Chokis,ABR-00299,162,25.33,36.48,paquete,2027-05-09
Queso Crema Philadelphia 180g,ABR-00300,164,38.70,54.23,pieza,2027-01-20
Jabón Dove Original 90g,ABR-00301,184,20.78,35.89,pieza,2030-06-15
Huevo Kínder 20g,ABR-00302,43,20.39,37.04,pieza,2027-04-29
Analgésico Aspirina 20 tabs Jumbo,ABR-00303,127,37.49,59.29,paquete,2027-05-24
Curitas surtidas 20pz,ABR-00304,175,21.94,36.71,paquete,2030-11-02
Duvalín Tricolor,ABR-00305,106,6.18,9.45,pieza,2027-12-09
Café de grano 250g Jumbo,ABR-00306,81,80.15,132.23,pieza,2027-07-20
Elote enlatado Herdez 400g Familiar,ABR-00307,61,15.04,22.49,pieza,2027-11-21
Queso Panela Chilchota 400g Pack 3,ABR-00308,216,51.84,76.10,pieza,2027-10-03
Chicharrones Totis 50g,ABR-00309,239,12.77,18.90,pieza,2027-06-17
Donas Bimbo 6pz,ABR-00310,127,34.99,48.11,paquete,2027-06-12
Mermelada de fresa McCormick 270g Individual,ABR-00311,55,32.03,51.58,pieza,2027-07-28
Red Bull 250ml Individual,ABR-00312,172,28.44,50.63,pieza,2027-11-25
Pulparindo,ABR-00313,225,5.28,8.90,pieza,2027-04-28
Lechuga romana,ABR-00314,13,17.72,25.96,pieza,2027-02-16
Avena Quaker 400g,ABR-00315,195,32.61,52.04,pieza,2027-05-14
Chocolate Kinder Surprise,ABR-00316,249,28.81,39.44,pieza,2026-11-08
Chiles Chipotles La Costeña 220g,ABR-00317,93,19.40,28.26,pieza,2026-12-26
Pingüinos Marinela 2pz,ABR-00318,9,13.78,20.38,paquete,2026-12-19
Papa blanca,ABR-00319,155,21.91,34.76,kg,2028-01-10
Huevos San Juan 12pz,ABR-00320,398,42.76,54.87,paquete,2027-06-03
Jabón Dove Original 90g,ABR-00321,181,23.16,35.18,pieza,2030-03-29
Chocolate Abuelita 6 tabletas,ABR-00322,250,44.05,69.89,paquete,2027-10-01
Insecticida Raid 400ml,ABR-00323,161,58.51,90.06,pieza,2028-09-16
Shampoo Head & Shoulders 375ml,ABR-00324,198,69.86,99.30,pieza,2029-11-02
Chile jalapeño fresco Individual,ABR-00325,158,33.15,56.14,kg,2027-08-25
Jamón de pavo Fud 250g,ABR-00326,179,40.27,65.75,pieza,2026-11-21
Donas Bimbo 6pz Familiar,ABR-00327,52,34.55,47.33,paquete,2027-09-25
